序号,Steps,Force_Value
1,0,-37.24273681640625
2,2500,-34.63936996459961
3,5000,-32.01534652709961
4,7500,-29.388999938964844
5,10000,-26.77499008178711
6,12500,-24.161787033081055
7,15000,-24.16446876525879
8,17500,-18.926258087158203
9,20000,-16.306528091430664
10,22500,-13.690373420715332
11,25000,-11.07806396484375
12,27500,-8.47219181060791
13,30000,-5.912992000579834
14,32500,-3.36344838142395
15,35000,-0.7513173222541809
16,37500,1.2194713354110718
17,40000,3.7019569873809814
