传感器ID,子镜编号,X坐标(米),Y坐标(米),数值,状态
1,2,0.000,0.000,0.000,正常
2,2,2.598,0.000,0.000,正常
3,2,1.905,0.000,0.000,正常
4,2,2.250,1.299,0.000,正常
5,2,1.650,0.953,0.000,正常
6,2,1.299,2.250,0.000,正常
7,2,0.953,1.650,0.000,正常
8,2,0.000,2.598,0.000,正常
9,2,0.000,1.905,0.000,正常
10,2,-1.299,2.250,0.000,正常
11,2,-0.953,1.650,0.000,正常
12,2,-2.250,1.299,0.000,正常
13,3,-1.650,0.953,0.000,正常
14,3,-2.598,0.000,0.000,正常
15,3,-1.905,0.000,0.000,正常
16,3,-2.250,-1.299,0.000,正常
17,3,-1.650,-0.953,0.000,正常
18,3,-1.299,-2.250,0.000,正常
19,3,-0.953,-1.650,0.000,正常
20,3,-0.000,-2.598,0.000,正常
21,3,-0.000,-1.905,0.000,正常
22,3,1.299,-2.250,0.000,正常
23,3,0.953,-1.650,0.000,正常
24,3,2.250,-1.299,0.000,正常
25,4,1.650,-0.953,0.000,正常
