序号,Steps,Force_Value
1,0,0.04569999873638153
2,-5000,-0.3346000015735626
3,-10000,-0.7389000058174133
4,-15000,-1.1748000383377075
5,-20000,-1.6262999773025513
6,-25000,-2.092099905014038
7,-30000,-2.5288000106811523
8,-35000,-2.9328999519348145
9,-40000,-3.3320999145507812
10,-45000,-3.706899881362915
11,-50000,-4.093599796295166
12,-55000,-4.529300212860107
13,-60000,-4.984399795532227
14,-65000,-5.448699951171875
15,-70000,-5.877900123596191
16,-75000,-6.2729997634887695
17,-80000,-6.669400215148926
18,-85000,-7.058899879455566
19,-90000,-7.4394001960754395
20,-95000,-7.866099834442139
21,-100000,-8.322600364685059
22,-105000,-8.786800384521484
23,-110000,-9.214699745178223
24,-115000,-9.600000381469727
