序号,Steps,Force_Value
1,0,-0.47999998927116394
2,-5000,-1.3700000047683716
3,-10000,-2.680000066757202
4,-15000,-4.119999885559082
5,-20000,-5.389999866485596
6,-25000,-6.769999980926514
7,-30000,-7.760000228881836
8,-35000,-9.079999923706055
9,-40000,-10.329999923706055
10,-45000,-11.65999984741211
11,-50000,-12.84000015258789
12,-55000,-14.180000305175781
13,-60000,-15.3100004196167
14,-65000,-16.610000610351562
15,-70000,-17.84000015258789
16,-75000,-19.139999389648438
17,-80000,-20.389999389648438
18,-85000,-21.700000762939453
19,-90000,-22.959999084472656
20,-95000,-24.270000457763672
21,-100000,-25.530000686645508
22,-105000,-26.829999923706055
23,-110000,-28.06999969482422
24,-115000,-29.360000610351562
25,-120000,-30.6200008392334
26,-125000,-31.920000076293945
27,-130000,-33.189998626708984
28,-135000,-34.5099983215332
29,-140000,-35.77000045776367
30,-145000,-37.08000183105469
31,-150000,-38.33000183105469
32,-155000,-39.630001068115234
33,-160000,-40.849998474121094
34,-165000,-42.15999984741211
35,-170000,-43.439998626708984
36,-175000,-44.7599983215332
37,-180000,-46.029998779296875
38,-185000,-47.31999969482422
39,-190000,-48.58000183105469
40,-195000,-49.869998931884766
